Date,Unemployment Rate,CPI,Fed Rate,BBB Rate,VIX,GDP,JPY/USD Spot Rate,Spot Crude Oil Price
2004-12-01,5.4,191.7,2.16,5.04,12.55,12527.214,103.81,43.33
2005-01-01,5.3,191.6,2.28,5.13,13.34,12767.286,103.34,46.84
2005-02-01,5.4,192.4,2.5,5.11,11.6,12767.286,104.94,47.97
2005-03-01,5.2,193.1,2.63,5.5,13.145,12767.286,105.25,54.31
2005-04-01,5.2,193.7,2.79,5.65,14.53,12922.656,107.19,53.04
2005-05-01,5.1,193.6,3.0,5.65,13.85,12922.656,106.6,49.83
2005-06-01,5.0,193.7,3.04,5.26,11.9,12922.656,108.75,56.26
2005-07-01,5.0,194.9,3.26,5.4,10.96,13142.642,111.95,58.7
2005-08-01,4.9,196.1,3.5,5.46,13.21,13142.642,110.61,64.97
2005-09-01,5.0,198.8,3.62,5.39,12.64,13142.642,111.24,65.57
2005-10-01,5.0,199.1,3.78,5.71,14.87,13324.204,114.87,62.37
2005-11-01,5.0,198.1,4.0,5.88,12.06,13324.204,118.45,58.3
2005-12-01,4.9,198.1,4.16,5.88,11.35,13324.204,118.46,59.43
2006-01-01,4.7,199.3,4.29,5.65,11.940000000000001,13599.16,115.48,65.51
2006-02-01,4.8,199.4,4.49,5.78,12.36,13599.16,117.86,61.63
2006-03-01,4.7,199.7,4.59,5.92,11.58,13599.16,117.28,62.9
2006-04-01,4.7,200.7,4.79,6.15,11.75,13753.424,117.07,69.69
2006-05-01,4.6,201.3,4.94,6.23,13.879999999999999,13753.424,111.73,70.94
2006-06-01,4.6,201.8,4.99,6.37,16.525,13753.424,114.63,70.96
2006-07-01,4.7,202.9,5.24,6.38,14.895,13870.188,115.77,74.41
2006-08-01,4.7,203.8,5.25,6.18,12.41,13870.188,115.92,73.05
2006-09-01,4.5,202.8,5.25,6.02,11.97,13870.188,117.21,63.87
2006-10-01,4.4,201.9,5.25,6.03,11.149999999999999,14039.56,118.61,58.88
2006-11-01,4.5,202.0,5.25,5.87,10.83,14039.56,117.32,59.37
2006-12-01,4.4,203.1,5.24,5.83,10.850000000000001,14039.56,117.32,62.03
2007-01-01,4.6,203.437,5.25,5.99,10.915,14215.651,120.45,54.57
2007-02-01,4.5,204.226,5.26,5.91,10.34,14215.651,120.5,59.26
2007-03-01,4.4,205.288,5.26,5.81,14.81,14215.651,117.26,60.56
2007-04-01,4.5,205.904,5.25,5.92,12.915,14402.082,118.93,63.97
2007-05-01,4.4,206.755,5.25,5.96,13.225000000000001,14402.082,120.77,63.46
2007-06-01,4.6,207.234,5.25,6.32,14.73,14402.082,122.69,67.48
2007-07-01,4.7,207.603,5.26,6.34,16.0,14564.117,121.41,74.18
2007-08-01,4.6,207.667,5.02,6.34,25.06,14564.117,116.73,72.39
2007-09-01,4.7,208.547,4.94,6.23,22.78,14564.117,115.04,79.93
2007-10-01,4.7,209.19,4.76,6.16,18.8,14715.058,115.87,86.2
2007-11-01,4.7,210.834,4.49,6.09,25.61,14715.058,111.07,94.62
2007-12-01,5.0,211.445,4.24,6.31,22.075,14715.058,112.45,91.73
2008-01-01,5.0,212.174,3.94,6.09,25.43,14706.538,107.82,92.95
2008-02-01,4.9,212.687,2.98,6.22,25.33,14706.538,107.03,95.35
2008-03-01,5.1,213.448,2.61,6.43,26.32,14706.538,100.76,105.56
2008-04-01,5.0,213.942,2.28,6.55,21.425,14865.701,102.68,112.57
2008-05-01,5.4,215.208,1.98,6.52,18.18,14865.701,104.36,125.39
2008-06-01,5.6,217.463,2.0,6.69,22.42,14865.701,106.92,133.93
2008-07-01,5.8,219.016,2.01,6.88,24.14,14898.999,106.85,133.44
2008-08-01,6.1,218.69,2.0,6.92,20.65,14898.999,109.36,116.61
2008-09-01,6.1,218.877,1.81,7.14,31.7,14898.999,106.57,103.9
2008-10-01,6.5,216.995,0.97,9.18,62.9,14608.209,99.97,76.65
2008-11-01,6.8,213.153,0.39,9.91,61.44,14608.209,96.97,57.44
2008-12-01,7.3,211.398,0.16,9.79,53.325,14608.209,91.28,41.02
2009-01-01,7.8,211.933,0.15,9.19,44.115,14430.902,90.12,41.74
2009-02-01,8.3,212.705,0.22,9.09,44.67,14430.902,92.92,39.16
2009-03-01,8.7,212.495,0.18,9.5,43.71,14430.902,97.86,47.98
2009-04-01,9.0,212.709,0.15,9.14,37.81,14381.236,98.92,49.79
2009-05-01,9.4,213.022,0.18,8.23,32.205,14381.236,96.64,59.16
2009-06-01,9.5,214.79,0.21,7.52,29.625,14381.236,96.61,69.68
2009-07-01,9.5,214.726,0.16,6.98,25.515,14448.882,94.37,64.09
2009-08-01,9.6,215.445,0.16,6.34,25.01,14448.882,94.9,71.06
2009-09-01,9.8,215.861,0.15,5.93,24.32,14448.882,91.27,69.46
2009-10-01,10.0,216.509,0.12,5.72,23.65,14651.249,90.37,75.82
2009-11-01,9.9,217.234,0.12,5.55,23.095,14651.249,89.27,78.08
2009-12-01,9.9,217.347,0.12,5.48,21.369999999999997,14651.249,89.95,74.3
2010-01-01,9.8,217.488,0.11,5.25,19.16,14764.61,91.1,78.22
2010-02-01,9.8,217.281,0.13,5.22,21.72,14764.61,90.14,76.42
2010-03-01,9.9,217.353,0.16,5.13,17.69,14764.61,90.72,81.24
2010-04-01,9.9,217.403,0.2,5.04,16.62,14980.193,93.45,84.48
2010-05-01,9.6,217.29,0.2,5.01,31.655,14980.193,91.97,73.84
2010-06-01,9.4,217.199,0.18,5.12,29.23,14980.193,90.81,75.35
2010-07-01,9.4,217.605,0.18,4.87,24.89,15141.607,87.5,76.37
2010-08-01,9.5,217.923,0.19,4.5,25.439999999999998,15141.607,85.37,76.82
2010-09-01,9.5,218.275,0.19,4.44,22.51,15141.607,84.36,75.31
2010-10-01,9.4,219.035,0.19,4.24,20.22,15309.474,81.73,81.9
