Date,Unemployment Rate,Three Month T Bill Rate,Six Month T Bill Rate,BBB Rate,Historical VIX,S&P 500 Index,Exchange Rate,Initial Claims,GDP,Fed Rate
9/1/19,3.5,1.89,1.84,3.32,15.56,2982.16,107.54,209500,21694.282,2.04
10/1/19,3.6,1.65,1.62,3.27,15.47,2977.68,108.1368,212250.0,21902.39,1.83
11/1/19,3.6,1.54,1.55,3.27,12.52,3104.9,108.8579,224400,21902.39,1.55
12/1/19,3.6,1.54,1.54,3.22,13.76,3176.75,109.101,236000.0,21902.39,1.55
1/1/20,3.6,1.52,1.52,3.07,13.94,3278.2,109.2667,214500,21706.513,1.55
2/1/20,3.5,1.52,1.47,2.9,19.63,3277.31,110.0295,208800,21706.513,1.58
3/1/20,4.4,0.29,0.29,4.06,57.74,2652.39,107.6673,2334500,21706.513,0.65
4/1/20,14.8,0.14,0.17,3.96,41.45,2761.98,107.7386,4663250,19913.143,0.05
5/1/20,13.2,0.13,0.15,3.32,30.9,2919.62,107.2,2173400,19913.143,0.05
6/1/20,11,0.16,0.18,2.78,31.12,3104.66,107.5782,1490250,19913.143,0.08
7/1/20,10.2,0.13,0.14,2.48,26.84,3207.62,106.6818,1383500,21647.64,0.09
8/1/20,8.4,0.1,0.12,2.36,22.89,3391.71,106.0129,922400,21647.64,0.1
9/1/20,7.8,0.11,0.12,2.37,27.65,3365.52,105.589,851750.0,21647.64,0.09
10/1/20,6.8,0.1,0.11,2.4,29.44,3418.7,105.2095,795400,22024.502,0.09
11/1/20,6.7,0.09,0.1,2.27,25,3548.99,104.4061,751250,22024.502,0.09
12/1/20,6.7,0.09,0.09,2.12,22.37,3695.31,103.7952,836750,22024.502,0.09
1/1/21,6.4,0.08,0.09,2.13,24.91,3793.75,103.7883,827800,22600.185,0.09
2/1/21,6.2,0.04,0.06,2.21,23.14,3883.43,105.3774,755000,22600.185,0.08
3/1/21,6.1,0.03,0.05,2.49,21.84,3910.51,108.6991,669250,22600.185,0.07
4/1/21,6.1,0.02,0.04,2.44,17.42,4141.18,109.0445,589000,23292.362,0.07
5/1/21,5.8,0.02,0.04,2.4,19.76,4167.85,109.112,469200,23292.362,0.06
6/1/21,5.9,0.04,0.05,2.32,16.96,4238.49,110.1073,410500,23292.362,0.08
7/1/21,5.4,0.05,0.05,2.21,17.6,4363.71,110.2143,371800,23828.973,0.1
8/1/21,5.1,0.05,0.06,2.24,17.47,4454.21,109.8527,360500,23828.973,0.09
9/1/21,4.7,0.04,0.05,2.25,19.82,4445.54,110.161,354500,23828.973,0.08
10/1/21,4.5,0.05,0.06,2.44,17.87,4460.71,113.1215,285200,24654.603,0.08
11/1/21,4.1,0.05,0.07,2.51,18.5,4667.39,113.965,236000,24654.603,0.08
12/1/21,3.9,0.06,0.15,2.58,21.35,4674.77,113.8329,211000,24654.603,0.08
1/1/22,4,0.15,0.33,2.87,23.18,4573.82,114.8255,236600,25029.116,0.08
2/1/22,3.8,0.33,0.64,3.3,25.75,4435.98,115.2763,217750,25029.116,0.08
