Date,Unemployment Rate,CPI,Fed Rate,BBB Rate,SP500 Index,VIX,GDP,JPY/USD Spot Rate,Spot Crude Oil Price
2014-12-01,5.6,236.252,0.12,3.78,2084.56,15.155000000000001,17912.079,119.32,59.29
2015-01-01,5.7,234.747,0.11,3.64,2024.4650000000001,19.455,18063.529,118.25,47.22
2015-02-01,5.5,235.342,0.11,3.65,2096.99,15.45,18063.529,118.76,50.58
2015-03-01,5.4,235.976,0.11,3.56,2080.31,15.065000000000001,18063.529,120.39,47.82
2015-04-01,5.4,236.222,0.12,3.41,2097.29,13.3,18279.784,119.51,54.45
2015-05-01,5.6,237.001,0.12,3.63,2115.295,13.075,18279.784,120.8,59.27
2015-06-01,5.3,237.657,0.13,3.85,2101.8999999999996,14.015,18279.784,123.72,59.82
2015-07-01,5.2,238.034,0.13,3.9,2100.875,13.405,18401.626,123.31,50.9
2015-08-01,5.1,238.033,0.14,4.0,2083.39,13.77,18401.626,123.0,42.87
2015-09-01,5.0,237.498,0.14,4.07,1948.86,24.25,18401.626,120.15,45.48
2015-10-01,5.0,237.733,0.12,4.04,2021.4,16.11,18435.137,120.05,46.22
2015-11-01,5.1,238.017,0.12,4.16,2085.085,15.774999999999999,18435.137,122.64,42.44
2015-12-01,5.0,237.761,0.24,4.32,2054.365,17.73,18435.137,121.64,37.19
2016-01-01,4.8,237.652,0.34,4.41,1906.9,23.95,18525.933,118.23,31.68
2016-02-01,4.9,237.336,0.38,4.46,1916.615,21.744999999999997,18525.933,114.62,30.32
2016-03-01,5.0,238.08,0.36,4.16,2024.705,15.870000000000001,18525.933,112.93,37.55
2016-04-01,5.1,238.992,0.37,3.76,2080.73,13.96,18711.702,109.55,40.75
2016-05-01,4.8,239.557,0.37,3.69,2063.37,14.69,18711.702,108.85,46.71
2016-06-01,4.9,240.222,0.38,3.54,2087.175,17.810000000000002,18711.702,105.35,48.76
2016-07-01,4.8,240.101,0.39,3.33,2163.7650000000003,12.85,18892.639,104.19,44.65
2016-08-01,4.9,240.545,0.4,3.28,2180.38,12.38,18892.639,101.24,44.72
2016-09-01,5.0,241.176,0.4,3.3,2159.93,13.48,18892.639,101.78,45.18
2016-10-01,4.9,241.741,0.4,3.35,2141.16,14.24,19089.379,103.91,49.78
2016-11-01,4.7,242.026,0.41,3.67,2176.94,13.72,19089.379,108.44,45.66
2016-12-01,4.7,242.637,0.54,3.86,2256.96,12.22,19089.379,116.0,51.97
2017-01-01,4.7,243.618,0.65,3.75,2271.6,11.55,19280.084,114.87,52.5
2017-02-01,4.6,244.006,0.66,3.7,2337.58,11.49,19280.084,112.91,53.47
2017-03-01,4.4,243.892,0.79,3.76,2368.06,11.66,19280.084,112.92,49.33
2017-04-01,4.4,244.193,0.9,3.64,2355.84,12.89,19438.643,110.09,51.06
2017-05-01,4.4,244.004,0.91,3.59,2397.67,10.440000000000001,19438.643,112.24,48.48
2017-06-01,4.3,244.163,1.04,3.5,2434.145,10.434999999999999,19438.643,110.91,45.18
2017-07-01,4.3,244.243,1.15,3.52,2459.94,10.004999999999999,19692.595,112.42,46.63
2017-08-01,4.4,245.183,1.16,3.47,2457.59,11.35,19692.595,109.83,48.04
2017-09-01,4.3,246.435,1.15,3.47,2497.605,10.175,19692.595,110.78,49.82
2017-10-01,4.2,246.626,1.15,3.5,2557.395,10.010000000000002,20037.088,112.91,51.58
2017-11-01,4.2,247.284,1.16,3.56,2587.84,10.2,20037.088,112.82,56.64
2017-12-01,4.1,247.805,1.3,3.59,2668.86,10.17,20037.088,112.94,57.88
2018-01-01,4.0,248.859,1.41,3.68,2798.03,11.08,20328.553,110.87,63.7
2018-02-01,4.1,249.529,1.42,3.94,2703.96,19.85,20328.553,107.97,62.23
2018-03-01,4.0,249.577,1.51,4.09,2716.94,18.36,20328.553,106.05,62.73
2018-04-01,4.0,250.227,1.69,4.17,2656.87,17.84,20580.912,107.66,66.25
2018-05-01,3.8,250.792,1.7,4.33,2716.55,13.425,20580.912,109.69,69.98
2018-06-01,4.0,251.018,1.82,4.39,2762.59,12.79,20580.912,110.06,67.87
2018-07-01,3.8,251.214,1.91,4.37,2801.83,12.83,20798.73,111.52,70.98
2018-08-01,3.8,251.663,1.91,4.32,2856.98,12.49,20798.73,111.0,68.06
2018-09-01,3.7,252.182,1.95,4.41,2904.31,12.79,20798.73,112.1,70.23
2018-10-01,3.8,252.772,2.19,4.56,2767.78,20.06,20917.867,112.72,70.75
2018-11-01,3.8,252.594,2.2,4.73,2730.2,19.51,20917.867,113.34,56.96
2018-12-01,3.9,252.767,2.27,4.73,2546.16,24.52,20917.867,112.2,49.52
2019-01-01,4.0,252.561,2.4,4.6,2616.1,19.07,21111.6,108.96,51.38
2019-02-01,3.8,253.319,2.4,4.37,2753.03,15.38,21111.6,110.44,54.95
2019-03-01,3.8,254.277,2.41,4.19,2805.37,14.33,21111.6,111.14,58.15
2019-04-01,3.7,255.233,2.42,4.05,2905.03,13.11,21397.938,111.64,63.86
2019-05-01,3.6,255.296,2.39,3.96,2857.9,16.375,21397.938,109.97,60.83
2019-06-01,3.6,255.213,2.38,3.7,2890.6549999999997,15.865,21397.938,108.07,54.66
2019-07-01,3.7,255.802,2.4,3.56,2995.465,12.98,21717.171,108.29,57.35
2019-08-01,3.6,256.036,2.13,3.3,2894.5950000000003,18.725,21717.171,106.19,54.81
2019-09-01,3.5,256.43,2.04,3.32,2982.13,15.235,21717.171,107.54,56.95
2019-10-01,3.6,257.155,1.83,3.27,2989.69,14.25,21933.217,108.14,53.96
2019-11-01,3.6,257.879,1.55,3.27,3100.085,12.649999999999999,21933.217,108.86,57.03
2019-12-01,3.6,258.63,1.55,3.22,3191.14,13.62,21933.217,109.1,59.88
2020-01-01,3.6,258.906,1.55,3.07,3276.24,12.98,21727.657,109.27,57.52
2020-02-01,3.5,259.246,1.58,2.9,3337.75,15.47,21727.657,110.03,50.54
2020-03-01,4.4,258.15,0.65,4.06,2605.62,59.415,21727.657,107.67,29.21
2020-04-01,14.8,256.126,0.05,3.96,2797.8,41.38,19935.444,107.74,16.55
2020-05-01,13.2,255.848,0.05,3.32,2926.37,30.03,19935.444,107.2,28.56
2020-06-01,11.0,257.004,0.08,2.78,3106.3199999999997,31.775,19935.444,107.58,38.31
2020-07-01,10.2,258.408,0.09,2.48,3217.035,26.685,21684.551,106.68,40.71
2020-08-01,8.4,259.366,0.1,2.36,3380.35,22.54,21684.551,106.01,42.34
2020-09-01,7.8,259.951,0.09,2.37,3351.6,26.57,21684.551,105.59,39.63
2020-10-01,6.8,260.249,0.09,2.4,3431.24,28.009999999999998,22068.767,105.21,39.4
2020-11-01,6.7,260.895,0.09,2.27,3570.225,23.575,22068.767,104.41,40.94
2020-12-01,6.7,262.005,0.09,2.12,3694.77,22.384999999999998,22068.767,103.8,47.02
2021-01-01,6.4,262.518,0.09,2.13,3799.61,23.25,22656.793,103.79,52.0
2021-02-01,6.2,263.583,0.08,2.21,3906.71,21.99,22656.793,105.38,59.04
