,Next Month VIX
Next Month VIX,1.0
DJI High Minus Low,0.7251082090472846
VIX,0.6789972583419613
RUSSELL2000 High Minus Low,0.621079556105585
FTSE High Minus Low,0.6076491418183223
NASDAQ High Minus Low,0.594584468485762
RUSSELL2000 Volume,0.576965730386864
SP500 Volume,0.5760887395315235
Initial Claims,0.41913437046848845
DJI Volume,0.40834212170510914
OIL Volume,0.3925157174082314
GOLD High Minus Low,0.3724325820123154
GOLD Volume,0.347476389896547
NASDAQ Volume,0.3357893866728006
NIKKEI High Minus Low,0.3210327626607493
GOLD High,0.273079827200535
FTSE Volume,0.2690284809792613
Unemployment Rate,0.26456883927986047
NASDAQ High,0.24805235986321172
GOLD Adj Close,0.24380461160612138
GOLD Low,0.2426727740950418
DJI High,0.23240891780168393
SP500 High,0.22192769061665493
SP500 Open,0.20575335177923354
NASDAQ Adj Close,0.19741181035891028
RUSSELL2000 High,0.19646619172852328
SP500 Index,0.18647563705423215
NASDAQ Low,0.18229049948258827
CPI,0.15692432903335227
DJI Adj Close,0.15220371131847912
OIL High Minus Low,0.14822002189094616
GDP,0.144005287322213
USD INDEX High,0.1318287032745263
DJI Low,0.12045628356406328
USD INDEX Adj Close,0.11141223826231485
USD INDEX Close,0.11141223826231485
RUSSELL2000 Adj Close,0.0924621533180844
NIKKEI High,0.08655464259955954
USD INDEX Low,0.08404060245168106
USD INDEX Open,0.0748440120490962
RUSSELL2000 Low,0.058292846945234886
NIKKEI Adj Close,0.03682566948126978
NIKKEI Low,0.03343017904545173
Spot Crude Oil Price,0.0252958449851724
JPY/USD Spot Rate,-0.04390170574492261
Total Nonfarm Employees,-0.07251053225736456
BBB Rate,-0.10979998880334346
Six Month T Bill Rate,-0.11769691464592141
Three Month T Bill Rate,-0.13340406344122635
Fed Rate,-0.16202447800746722
FTSE High,-0.2114889498548486
NIKKEI Volume,-0.2462173342886888
10-Year Treasury Constant Maturity Rate,-0.2655765920702837
OIL High,-0.2769817603002838
OIL Low,-0.36403109817764756
OIL Adj Close,-0.3686174369793489
FTSE Adj Close,-0.3686871193910955
FTSE Low,-0.3925692415238226
